,Row,Sample Name,Transaction Id,Anon Student Id,Session Id,Time,Time Zone,Duration (sec),Student Response Type,Student Response Subtype,Tutor Response Type,Tutor Response Subtype,Level (Unit),Problem Name,Problem View,Problem Start Time,Step Name,Attempt At Step,Is Last Attempt,Outcome,Selection,Action,Input,Feedback Text,Feedback Classification,Help Level,Total Num Hints,KC (Geometry),KC Category (Geometry),KC (Textbook),KC Category (Textbook),KC (Single-KC),KC Category (Single-KC),KC (Unique-step),KC Category (Unique-step),KC (NewModel),KC Category (NewModel),KC (NNEWWW),KC Category (NNEWWW),KC (New),KC Category (New),KC (MyKC),KC Category (MyKC),KC (MJB-SQRECT-Merge),KC Category (MJB-SQRECT-Merge),KC (KRE_circle_area),KC Category (KRE_circle_area),KC (Textbook-test),KC Category (Textbook-test),KC (Khushboo),KC Category (Khushboo),KC (Zhulin_Textbook11_SquareRectMerge),KC Category (Zhulin_Textbook11_SquareRectMerge),KC (new KC model name),KC Category (new KC model name),School,Class,CF (Factor add-or-m),CF (Factor backward),CF (Factor base-formula-p),CF (Factor base-or-height),CF (Factor basic-shape),CF (Factor cir-quad),CF (Factor circle-formula),CF (Factor circle-given),CF (Factor circle-goal),CF (Factor embedd3-tri-reg_prob_fix),CF (Factor embeddedness),CF (Factor figure-part),CF (Factor figure-type),CF (Factor non-standard-orientation-or-shape),CF (Factor parallelogram),CF (Factor parallelogram-type),CF (Factor repeat),CF (Factor required),CF (Factor trapezoid-part),KC (Unique-step)_isoriginal,KC (new KC model name)_isoriginal
6645,6646,All Data,e40d5dfccc6a46f9312627f422c0be6c,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:22,US/Eastern,12.07632728,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,1,21:10.7,(GREEN-AREA QUESTION2),1,1,CORRECT,(GREEN-AREA QUESTION2),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC56,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,initial,required,0,Yes,
6646,6647,All Data,c6d8e87367d85f54fb4b5df3ec439344,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:22,US/Eastern,10.91668892,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,1,21:10.7,(PURPLE-AREA QUESTION2),1,1,CORRECT,(PURPLE-AREA QUESTION2),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC6,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,initial,required,0,Yes,
6647,6648,All Data,98336855d1f0aad4f6e68d3d8ae45fb6,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:22,US/Eastern,12.5159595,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,1,21:10.7,(AREA QUESTION3),1,1,CORRECT,(AREA QUESTION3),,,,,,,Geometry,,triangle-area,,Single-KC,,KC115,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,area,,triangle-area,,triangle-area,,,,0,0,f,0,triangle,quad,0,0,0,0,alone,area,triangle,0,0,0,initial,required,0,Yes,
6648,6649,All Data,ef837918a17248703a99ada790c65f16,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:22,US/Eastern,11.71326558,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,1,21:10.7,(WHITE-AREA QUESTION3),1,1,CORRECT,(WHITE-AREA QUESTION3),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC109,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,initial,required,0,Yes,
6649,6650,All Data,bb5800bd08206503bf1db9b0aadb0737,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:23,US/Eastern,10.26346055,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,1,21:10.7,(GREEN-AREA QUESTION3),1,1,CORRECT,(GREEN-AREA QUESTION3),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC121,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,repeat,required,0,Yes,
6650,6651,All Data,dde955236e6720076ed1ea460deea2db,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:23,US/Eastern,14.09598161,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,1,21:10.7,(PURPLE-AREA QUESTION3),1,1,CORRECT,(PURPLE-AREA QUESTION3),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC99,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,repeat,required,0,Yes,
6656,6657,All Data,29b53a9db2cadf44cf7d13004ee509c3,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:23,US/Eastern,10.36076911,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,2,21:10.7,(AREA QUESTION1),1,1,CORRECT,(AREA QUESTION1),,,,,,,Geometry,,triangle-area,,Single-KC,,KC68,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,area,,triangle-area,,triangle-area,,,,0,0,f,0,triangle,quad,0,0,0,0,alone,area,triangle,0,0,0,repeat,additional,0,Yes,
6657,6658,All Data,3a656fa7b26c7ce8cc2a9b40d69a5c56,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:23,US/Eastern,14.08579935,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,2,21:10.7,(WHITE-AREA QUESTION1),1,1,CORRECT,(WHITE-AREA QUESTION1),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC66,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,repeat,additional,0,Yes,
6658,6659,All Data,1b83d61fcc9c714f97c105b785defa9c,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:23,US/Eastern,9.669033696,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,2,21:10.7,(GREEN-AREA QUESTION1),1,1,CORRECT,(GREEN-AREA QUESTION1),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC122,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,repeat,additional,0,Yes,
6659,6660,All Data,29d4c8bd67684760ba17a599874857e3,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:24,US/Eastern,12.53354838,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,2,21:10.7,(PURPLE-AREA QUESTION1),1,1,CORRECT,(PURPLE-AREA QUESTION1),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC88,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,initial,additional,0,Yes,
6660,6661,All Data,fe876c802134f7bdddc34fc668db6b32,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:24,US/Eastern,11.88284045,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,2,21:10.7,(AREA QUESTION2),1,1,CORRECT,(AREA QUESTION2),,,,,,,Geometry,,triangle-area,,Single-KC,,KC40,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,area,,triangle-area,,triangle-area,,,,0,0,f,0,triangle,quad,0,0,0,0,alone,area,triangle,0,0,0,initial,additional,0,Yes,
6661,6662,All Data,815c16884e541937b08da361970e4fe7,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:24,US/Eastern,12.50356516,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,2,21:10.7,(WHITE-AREA QUESTION2),1,1,CORRECT,(WHITE-AREA QUESTION2),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC105,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,initial,additional,0,Yes,
6662,6663,All Data,f29544ff08944389300d0698c6a30404,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:24,US/Eastern,14.07572355,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,2,21:10.7,(GREEN-AREA QUESTION2),1,1,CORRECT,(GREEN-AREA QUESTION2),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC56,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,initial,additional,0,Yes,
6663,6664,All Data,cb2f519516174a487f081713b9aba30c,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:24,US/Eastern,9.632342055,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,2,21:10.7,(PURPLE-AREA QUESTION2),1,1,CORRECT,(PURPLE-AREA QUESTION2),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC6,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,initial,additional,0,Yes,
6664,6665,All Data,f511fca45fd8317bc9bcd8f4f57a5ec6,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:25,US/Eastern,11.80260343,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,2,21:10.7,(AREA QUESTION3),1,1,CORRECT,(AREA QUESTION3),,,,,,,Geometry,,triangle-area,,Single-KC,,KC115,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,area,,triangle-area,,triangle-area,,,,0,0,f,0,triangle,quad,0,0,0,0,alone,area,triangle,0,0,0,initial,additional,0,Yes,
6665,6666,All Data,ef545581bd7edae9ddbbd7fd4203a3fc,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:25,US/Eastern,13.72371995,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,2,21:10.7,(WHITE-AREA QUESTION3),1,1,CORRECT,(WHITE-AREA QUESTION3),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC109,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,initial,additional,0,Yes,
6666,6667,All Data,0e388135ceb4241c4b42b1f2e8c0d053,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:25,US/Eastern,14.02826862,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,2,21:10.7,(GREEN-AREA QUESTION3),1,1,CORRECT,(GREEN-AREA QUESTION3),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC121,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,initial,additional,0,Yes,
6667,6668,All Data,e8556ec49a3af41208423f45d806535d,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:25,US/Eastern,12.15868249,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,2,21:10.7,(PURPLE-AREA QUESTION3),1,1,CORRECT,(PURPLE-AREA QUESTION3),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC99,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,initial,additional,0,Yes,
